amr_gene	aro_call	n_samples
mh_p292___316783	vanW gene in vanI cluster	5
mh_p292___336381	vanY gene in vanG cluster	5
mh_p292___405310	vanW gene in vanI cluster	5
mh_p341___155237	vanY gene in vanG cluster	5
mh_p341___16021	AAC(6')-Ii	5
mh_p341___177707	qacJ	5
mh_p341___6697	vanY gene in vanB cluster	5
mh_p523___123726	adeF	5
mh_p523___25823	vanG	5
mh_p523___347435	vanW gene in vanI cluster	5
mh_p523___353233	Klebsiella pneumoniae KpnF	5
mh_p523___35938	vanY gene in vanB cluster	5
mh_p523___52709	vanW gene in vanI cluster	5
mh_p550___228029	vanW gene in vanI cluster	5
mh_p550___85849	vanW gene in vanG cluster	5
mh_p584___95844	CTX-M-27	5
mh_p601___16813	vanY gene in vanM cluster	5
mh_p601___191892	vanY gene in vanM cluster	5
mh_p601___234673	vanY gene in vanF cluster	5
mh_p601___249465	vanT gene in vanG cluster	5
mh_p601___310772	vanY gene in vanB cluster	5
mh_p601___314669	vanW gene in vanI cluster	5
mh_p601___336439	vanS gene in vanC cluster	5
mh_p601___376529	vanT gene in vanG cluster	5
mh_p601___85979	vanT gene in vanG cluster	5
mh_p601___86990	vanY gene in vanM cluster	5
mh_p601___92783	vanT gene in vanE cluster	5
mh_p601___92784	vanG	5
mh_p644___102104	vanY gene in vanB cluster	5
mh_p644___192844	tet(32)	5
mh_p644___23438	vanY gene in vanG cluster	5
mh_p722___138271	vanT gene in vanG cluster	5
mh_p722___147430	vanW gene in vanI cluster	5
mh_p722___17948	Klebsiella pneumoniae KpnF	5
mh_p722___364309	vanW gene in vanI cluster	5
mh_p722___367521	vanY gene in vanG cluster	5
mh_p728___239028	vanY gene in vanB cluster	5
mh_p789___124607	vanW gene in vanI cluster	5
mh_p789___194494	vanT gene in vanG cluster	5
mh_p789___205846	vanW gene in vanI cluster	5
mh_p789___210887	vanY gene in vanB cluster	5
mh_p789___232798	adeF	5
mh_p789___238833	qacJ	5
mh_p789___261143	vanH gene in vanO cluster	5
mh_p789___304341	tet(X5)	5
mh_p789___313306	vanT gene in vanG cluster	5
mh_p789___376596	vanY gene in vanB cluster	5
mh_p789___390928	vanTr gene in vanL cluster	5
mh_p789___391218	vanW gene in vanI cluster	5
mh_p789___409182	vanW gene in vanI cluster	5
mh_p789___409366	vanT gene in vanG cluster	5
mh_p789___523978	vanT gene in vanG cluster	5
mh_p789___529067	vanW gene in vanI cluster	5
mh_p789___537255	vanT gene in vanG cluster	5
mh_p789___544862	vanW gene in vanI cluster	5
mh_p789___577437	vanW gene in vanI cluster	5
mh_p789___612805	vanW gene in vanI cluster	5
mh_p789___632461	vanY gene in vanF cluster	5
mh_p789___648480	vanY gene in vanB cluster	5
mh_p789___659688	vanW gene in vanG cluster	5
mh_p789___78276	vanG	5
mh_p813___155062	vanW gene in vanI cluster	5
mh_p813___319169	APH(2'')-If	5
mh_p813___343425	mdtB	5
mh_p813___372775	tet(36)	5
mh_p813___386621	qacG	5
mh_p813___50857	qacG	5
mh_p813___92578	vanY gene in vanG cluster	5
mh_p860___306015	vanW gene in vanI cluster	5
mh_p894___216541	ArnT	5
mh_p894___21848	CfxA6	5
mh_p894___316309	CMY-132	5
mh_p894___88900	vanY gene in vanA cluster	5
spaS118___17506	vanT gene in vanG cluster	5
spaS122___80240	tet(32)	5
spaS142___135375	vanT gene in vanG cluster	5
spaS171___63481	ANT(2'')-Ia	5
spaS177___16521	vanW gene in vanI cluster	5
spaS186___102830	vanY gene in vanM cluster	5
spaS201___144878	vanT gene in vanG cluster	5
spaS22___45297	vanY gene in vanB cluster	5
spaS254___126816	ArnT	5
spaS257___115697	vanY gene in vanB cluster	5
spaS257___115701	vanXY gene in vanG cluster	5
spaS257___1267	vanW gene in vanI cluster	5
spaS257___190472	vanW gene in vanG cluster	5
spaS257___212457	vanY gene in vanB cluster	5
spaS257___36659	vanT gene in vanG cluster	5
spaS257___67212	vanH gene in vanO cluster	5
spaS258___116453	vanW gene in vanI cluster	5
spaS258___207005	emrR	5
spaS258___77591	vanY gene in vanB cluster	5
spaS259___103795	tet(36)	5
spaS259___21063	vanG	5
spaS259___8317	tetB(P)	5
spaS266___93659	vanY gene in vanG cluster	5
spaS267___160800	qacG	5
spaS267___46127	vanY gene in vanF cluster	5
spaS268___168142	baeR	5
spaS268___62876	fosA5	5
spaS269___154712	vanT gene in vanG cluster	5
spaS272___141463	vanW gene in vanI cluster	5
spaS277___140645	lsaA	5
spaS278___42917	vanY gene in vanM cluster	5
spaS278___77830	vanX gene in vanD cluster	5
spaS278___77831	vanD	5
spaS294___184109	vanT gene in vanG cluster	5
spaS294___257376	vanY gene in vanB cluster	5
spaS295___250262	vanW gene in vanI cluster	5
spaS296___187710	vanW gene in vanI cluster	5
spaS297___286730	vanY gene in vanB cluster	5
spaS29___106004	qacJ	5
spaS3___80556	vanG	5
spaS3___80557	vanXY gene in vanG cluster	5
spaS58___72285	vanW gene in vanI cluster	5
spaS66___106238	vanT gene in vanG cluster	5
spaS72___75152	vanW gene in vanI cluster	5
spaS72___84487	vanW gene in vanI cluster	5
spaS74___13787	vanW gene in vanI cluster	5
spaS83___69193	vanY gene in vanM cluster	5
mh_p110___108169	tet(36)	4
mh_p110___297079	vanXY gene in vanG cluster	4
mh_p110___4397	vanT gene in vanG cluster	4
mh_p110___4399	vanG	4
mh_p110___85035	tet(36)	4
mh_p125___88785	vanY gene in vanB cluster	4
mh_p292___183510	vanY gene in vanB cluster	4
mh_p292___300370	vanT gene in vanG cluster	4
mh_p292___48591	vanW gene in vanI cluster	4
mh_p341___170666	efrA	4
mh_p341___177783	eatAv	4
mh_p341___222915	vanT gene in vanG cluster	4
mh_p470___160878	vanW gene in vanI cluster	4
mh_p470___232797	vanY gene in vanG cluster	4
mh_p523___132677	vanY gene in vanB cluster	4
mh_p523___25917	Enterobacter cloacae acrA	4
mh_p523___29286	adeF	4
mh_p523___353234	Klebsiella pneumoniae KpnE	4
mh_p523___395336	vanT gene in vanG cluster	4
mh_p550___10470	tmrB	4
mh_p550___10532	mphK	4
mh_p550___117867	vanY gene in vanG cluster	4
mh_p550___133926	vanT gene in vanG cluster	4
mh_p550___134005	vmlR	4
mh_p550___142143	tet(45)	4
mh_p550___155769	vanH gene in vanD cluster	4
mh_p550___161781	tet(36)	4
mh_p550___249306	vanW gene in vanI cluster	4
mh_p550___255399	bmr	4
mh_p550___255679	aadK	4
mh_p550___29603	ykkC	4
mh_p550___29604	ykkD	4
mh_p584___237497	vanW gene in vanI cluster	4
mh_p584___32948	Escherichia coli soxS with mutation conferring antibiotic resistance	4
mh_p601___130325	qacG	4
mh_p601___142075	vanY gene in vanG cluster	4
mh_p601___192835	vanW gene in vanI cluster	4
mh_p601___239945	vanW gene in vanI cluster	4
mh_p601___299831	vanY gene in vanB cluster	4
mh_p601___333607	vanW gene in vanI cluster	4
mh_p601___354191	vanY gene in vanF cluster	4
mh_p601___61353	vanT gene in vanG cluster	4
mh_p601___75085	vanG	4
mh_p644___253286	vanW gene in vanI cluster	4
mh_p722___101583	vanW gene in vanI cluster	4
mh_p722___29287	mdtN	4
mh_p722___333207	vanT gene in vanG cluster	4
mh_p722___57699	vanY gene in vanB cluster	4
mh_p722___97547	qacG	4
mh_p789___110716	vanW gene in vanG cluster	4
mh_p789___137958	vanW gene in vanI cluster	4
mh_p789___147580	vanW gene in vanI cluster	4
mh_p789___154556	tet(Q)	4
mh_p789___184257	vanY gene in vanB cluster	4
mh_p789___191076	vanT gene in vanG cluster	4
mh_p789___240938	tet(36)	4
mh_p789___245398	vanT gene in vanG cluster	4
mh_p789___27827	vanW gene in vanI cluster	4
mh_p789___3242	vanT gene in vanC cluster	4
mh_p789___324537	vanW gene in vanG cluster	4
mh_p789___356503	vanT gene in vanG cluster	4
mh_p789___359236	vanW gene in vanI cluster	4
mh_p789___383152	vanY gene in vanB cluster	4
mh_p789___386597	vanW gene in vanI cluster	4
mh_p789___435850	poxtA	4
mh_p789___443845	vanY gene in vanB cluster	4
mh_p789___444487	vanH gene in vanO cluster	4
mh_p789___455254	vanW gene in vanI cluster	4
mh_p789___496331	vanH gene in vanO cluster	4
mh_p789___497611	vanY gene in vanB cluster	4
mh_p789___545006	vanW gene in vanI cluster	4
mh_p789___559602	vanY gene in vanA cluster	4
mh_p789___563472	vanY gene in vanG cluster	4
mh_p789___579184	vanW gene in vanG cluster	4
mh_p789___587598	vanY gene in vanG cluster	4
mh_p789___597440	vanW gene in vanI cluster	4
mh_p789___600138	vanY gene in vanB cluster	4
mh_p789___608867	vanTr gene in vanL cluster	4
mh_p789___99563	vanT gene in vanG cluster	4
mh_p813___100639	vanW gene in vanI cluster	4
mh_p813___136759	vanY gene in vanM cluster	4
mh_p813___16311	kdpE	4
mh_p813___170912	qacJ	4
mh_p813___193108	leuO	4
mh_p813___213830	vanT gene in vanG cluster	4
mh_p813___241084	tet(D)	4
mh_p813___506764	Escherichia coli acrA	4
mh_p813___51515	tet(36)	4
mh_p813___569893	ArnT	4
mh_p813___569896	PmrF	4
mh_p813___586109	mdtG	4
mh_p813___604146	Escherichia coli mdfA	4
mh_p813___71971	CMY-48	4
mh_p860___118457	vanT gene in vanG cluster	4
mh_p894___83671	vanT gene in vanG cluster	4
spaS102___37620	vanW gene in vanI cluster	4
spaS102___40987	vanG	4
spaS102___49227	vanY gene in vanB cluster	4
spaS102___49694	vanT gene in vanG cluster	4
spaS115___146387	nimJ	4
spaS118___70571	nimE	4
spaS139___31655	vanY gene in vanM cluster	4
spaS164___77873	vanY gene in vanB cluster	4
spaS177___53685	vanT gene in vanG cluster	4
spaS180___115101	FosXCC	4
spaS183___69369	efmA	4
spaS183___92606	adeF	4
spaS187___95879	vanT gene in vanG cluster	4
spaS215___167169	vanY gene in vanB cluster	4
spaS215___33284	vanW gene in vanI cluster	4
spaS215___40900	nimA	4
spaS215___60516	vanY gene in vanB cluster	4
spaS215___8952	vanT gene in vanG cluster	4
spaS23___27833	tet(36)	4
spaS24___72529	mdtM	4
spaS252___133087	vanY gene in vanB cluster	4
spaS254___34473	vanY gene in vanM cluster	4
spaS257___136120	vanY gene in vanB cluster	4
spaS257___175297	vanY gene in vanD cluster	4
spaS257___18306	nimJ	4
spaS257___18838	vanY gene in vanB cluster	4
spaS257___201630	vanY gene in vanB cluster	4
spaS257___22728	vanY gene in vanG cluster	4
spaS257___97116	tetB(P)	4
spaS258___114131	vanT gene in vanG cluster	4
spaS258___114598	emeA	4
spaS259___1303	vanW gene in vanI cluster	4
spaS262___43759	Haemophilus influenzae PBP3 conferring resistance to beta-lactam antibiotics	4
spaS266___82092	vanY gene in vanF cluster	4
spaS267___45582	vanTr gene in vanL cluster	4
spaS268___151710	vanW gene in vanI cluster	4
spaS268___31525	tet(36)	4
spaS268___43683	adeF	4
spaS268___57222	poxtA	4
spaS274___48663	vanT gene in vanG cluster	4
spaS278___77835	vanR gene in vanD cluster	4
spaS281___49844	ANT(9)-Ia	4
spaS284___36847	vanW gene in vanI cluster	4
spaS284___52749	tet(Q)	4
spaS285___25659	vanW gene in vanI cluster	4
spaS286___40533	vanY gene in vanB cluster	4
spaS294___259861	vanH gene in vanO cluster	4
spaS296___138350	vanY gene in vanM cluster	4
spaS66___63270	vanW gene in vanI cluster	4
spaS95___68796	vanY gene in vanF cluster	4
spaS97___45047	vanT gene in vanG cluster	4
mh_p110___109473	cfrE	3
mh_p110___153030	vanW gene in vanI cluster	3
mh_p110___162437	vanY gene in vanG cluster	3
mh_p110___167756	vanT gene in vanG cluster	3
mh_p110___178336	vanT gene in vanG cluster	3
mh_p110___180969	vanT gene in vanG cluster	3
mh_p110___189592	vanT gene in vanG cluster	3
mh_p110___216496	vanG	3
mh_p110___300420	tet(Q)	3
mh_p110___4400	vanW gene in vanG cluster	3
mh_p125___155888	vanT gene in vanG cluster	3
mh_p125___155893	vanY gene in vanG cluster	3
mh_p125___220576	vanW gene in vanI cluster	3
mh_p125___290496	vanW gene in vanI cluster	3
mh_p125___85193	vanG	3
mh_p292___112218	vanY gene in vanB cluster	3
mh_p292___149452	vanU gene in vanG cluster	3
mh_p292___149453	vanR gene in vanG cluster	3
mh_p292___149456	vanW gene in vanG cluster	3
mh_p292___149457	vanG	3
mh_p292___149459	vanT gene in vanG cluster	3
mh_p292___174608	vanW gene in vanI cluster	3
mh_p292___177300	nimJ	3
mh_p292___213371	vanW gene in vanI cluster	3
mh_p292___217292	vanT gene in vanG cluster	3
mh_p292___234229	vanT gene in vanG cluster	3
mh_p292___274251	qacG	3
mh_p292___363791	nimA	3
mh_p292___395967	vanT gene in vanG cluster	3
mh_p292___54986	vanW gene in vanI cluster	3
mh_p341___104292	adeF	3
mh_p341___131331	vanY gene in vanM cluster	3
mh_p341___194176	vanY gene in vanB cluster	3
mh_p341___236982	vanW gene in vanI cluster	3
mh_p341___300495	vanW gene in vanB cluster	3
mh_p341___71073	vanH gene in vanB cluster	3
mh_p341___71962	Klebsiella pneumoniae acrR with mutation conferring multidrug antibiotic resistance	3
mh_p408___105	vanT gene in vanG cluster	3
mh_p408___159862	nimG	3
mh_p408___214791	vanW gene in vanI cluster	3
mh_p470___248144	vanH gene in vanF cluster	3
mh_p523___11482	vanT gene in vanG cluster	3
mh_p523___117473	vanY gene in vanF cluster	3
mh_p523___179999	vanG	3
mh_p523___188562	vanT gene in vanG cluster	3
mh_p523___245417	vanW gene in vanI cluster	3
mh_p523___285394	ArnT	3
mh_p523___412262	vanY gene in vanB cluster	3
mh_p523___430223	vanG	3
mh_p523___43333	vanY gene in vanF cluster	3
mh_p523___43358	vanY gene in vanF cluster	3
mh_p523___56265	vanT gene in vanG cluster	3
mh_p550___104587	qacJ	3
mh_p550___141855	ANT(9)-Ib	3
mh_p550___194073	qacG	3
mh_p550___235294	mefH	3
mh_p550___243444	vanT gene in vanG cluster	3
mh_p550___39974	vanH gene in vanO cluster	3
mh_p550___53232	vanT gene in vanG cluster	3
mh_p550___93611	EreD	3
mh_p584___140381	ANT(4')-Ia	3
mh_p584___190417	ArnT	3
mh_p584___242044	vanW gene in vanI cluster	3
mh_p584___96304	msbA	3
mh_p601___11500	vanT gene in vanG cluster	3
mh_p601___299451	vanT gene in vanG cluster	3
mh_p601___299482	vanG	3
mh_p601___361178	tet(Q)	3
mh_p601___386145	nimJ	3
mh_p601___79109	vanT gene in vanG cluster	3
mh_p644___108530	vanY gene in vanB cluster	3
mh_p722___138152	vanG	3
mh_p722___180912	tet(Q)	3
mh_p722___271460	tet(36)	3
mh_p722___32626	vanY gene in vanB cluster	3
mh_p722___352773	vanY gene in vanB cluster	3
mh_p722___353257	vanG	3
mh_p722___51580	vanT gene in vanG cluster	3
mh_p722___51602	vanW gene in vanI cluster	3
mh_p789___105829	vanW gene in vanI cluster	3
mh_p789___109866	vanW gene in vanI cluster	3
mh_p789___121616	vanT gene in vanG cluster	3
mh_p789___12766	vanG	3
mh_p789___136682	vanW gene in vanI cluster	3
mh_p789___178212	vanW gene in vanI cluster	3
mh_p789___206945	nimJ	3
mh_p789___234155	vanY gene in vanM cluster	3
mh_p789___236276	vanW gene in vanI cluster	3
mh_p789___241736	vanY gene in vanG cluster	3
mh_p789___253047	vanY gene in vanG cluster	3
mh_p789___267045	vanT gene in vanG cluster	3
mh_p789___269973	vanH gene in vanO cluster	3
mh_p789___288875	vanY gene in vanB cluster	3
mh_p789___29079	vanW gene in vanI cluster	3
mh_p789___297157	vanW gene in vanI cluster	3
mh_p789___302074	vanY gene in vanB cluster	3
mh_p789___322933	vanH gene in vanA cluster	3
mh_p789___337863	vanY gene in vanA cluster	3
mh_p789___337961	vanH gene in vanO cluster	3
mh_p789___364591	vanW gene in vanG cluster	3
mh_p789___389598	vanT gene in vanG cluster	3
mh_p789___399926	vanT gene in vanG cluster	3
mh_p789___40850	vanT gene in vanG cluster	3
mh_p789___40851	vanXY gene in vanG cluster	3
mh_p789___421026	vanT gene in vanG cluster	3
mh_p789___421027	vanG	3
mh_p789___443020	vanT gene in vanG cluster	3
mh_p789___450486	vanW gene in vanG cluster	3
mh_p789___457599	vanT gene in vanG cluster	3
mh_p789___457616	vanW gene in vanI cluster	3
mh_p789___499830	vanT gene in vanG cluster	3
mh_p789___517096	vanXY gene in vanG cluster	3
mh_p789___535803	tet(Q)	3
mh_p789___537376	vanY gene in vanG cluster	3
mh_p789___548961	vanW gene in vanI cluster	3
mh_p789___566177	vanY gene in vanB cluster	3
mh_p789___595239	vanY gene in vanB cluster	3
mh_p789___597192	vanT gene in vanG cluster	3
mh_p789___62377	vanW gene in vanI cluster	3
mh_p789___658137	vanT gene in vanG cluster	3
mh_p789___664301	vanW gene in vanI cluster	3
mh_p789___69501	vanT gene in vanG cluster	3
mh_p789___85968	vanH gene in vanO cluster	3
mh_p789___90502	vanW gene in vanB cluster	3
mh_p813___141772	vanG	3
mh_p813___142869	vanT gene in vanG cluster	3
mh_p813___207017	vanG	3
mh_p813___207018	vanT gene in vanG cluster	3
mh_p813___371133	tet(S)	3
mh_p813___394041	emrA	3
mh_p813___457267	vanG	3
mh_p813___477381	vanW gene in vanI cluster	3
mh_p813___477684	mdeA	3
mh_p813___50336	catS	3
mh_p813___52838	vanW gene in vanI cluster	3
mh_p813___567851	vanW gene in vanI cluster	3
mh_p813___570460	Klebsiella pneumoniae KpnE	3
mh_p813___618309	vanT gene in vanG cluster	3
mh_p813___618456	vanY gene in vanB cluster	3
mh_p813___627326	vanY gene in vanB cluster	3
mh_p813___630009	OXY-2-7	3
mh_p813___668427	marA	3
mh_p813___668428	Escherichia coli AcrAB-TolC with MarR mutations conferring resistance to ciprofloxacin and tetracycline	3
mh_p860___171935	vanW gene in vanI cluster	3
mh_p860___21065	qacG	3
mh_p860___297208	vanW gene in vanI cluster	3
mh_p860___320198	qacG	3
mh_p860___77059	vanW gene in vanI cluster	3
mh_p97___247215	vanT gene in vanG cluster	3
mh_p97___33033	vanG	3
mh_p97___45135	vanL	3
spaS102___46516	vanY gene in vanG cluster	3
spaS130___152369	nimE	3
spaS140___104653	vanY gene in vanG cluster	3
spaS156___135413	nimG	3
spaS16___93760	vanY gene in vanB cluster	3
spaS171___55462	vanY gene in vanM cluster	3
spaS176___76419	Escherichia coli emrE	3
spaS176___99645	tetA(P)	3
spaS177___35505	nimJ	3
spaS182___99934	vanY gene in vanM cluster	3
spaS184___77367	H-NS	3
spaS185___22985	vanW gene in vanI cluster	3
spaS185___48419	vanT gene in vanG cluster	3
spaS196___112801	poxtA	3
spaS196___38178	vanH gene in vanF cluster	3
spaS196___55506	vanY gene in vanB cluster	3
spaS196___70130	vanW gene in vanI cluster	3
spaS196___73586	vanW gene in vanI cluster	3
spaS202___101289	vanY gene in vanB cluster	3
spaS202___118512	vanT gene in vanG cluster	3
spaS202___73709	vanW gene in vanI cluster	3
spaS202___81243	tetR	3
spaS202___81244	tet(B)	3
spaS202___86277	vanY gene in vanA cluster	3
spaS202___91948	vanT gene in vanG cluster	3
spaS205___108643	vanY gene in vanB cluster	3
spaS207___110395	vanH gene in vanD cluster	3
spaS210___150790	vanW gene in vanI cluster	3
spaS233___97862	vanT gene in vanG cluster	3
spaS23___92938	vanY gene in vanB cluster	3
spaS250___135299	nimK	3
spaS253___133676	qacG	3
spaS254___121013	mdtP	3
spaS257___110148	vanW gene in vanI cluster	3
spaS257___118205	mefH	3
spaS257___198479	vanD	3
spaS257___208342	dfrE	3
spaS257___90225	vanG	3
spaS258___110587	vanG	3
spaS258___110589	vanT gene in vanG cluster	3
spaS258___170222	vanY gene in vanF cluster	3
spaS258___189991	vanW gene in vanI cluster	3
spaS258___201720	vanY gene in vanB cluster	3
spaS258___227520	vanXY gene in vanE cluster	3
spaS259___1273	vanT gene in vanG cluster	3
spaS259___21039	vanY gene in vanB cluster	3
spaS262___49013	vanY gene in vanM cluster	3
spaS262___81325	vanW gene in vanI cluster	3
spaS262___88620	vanT gene in vanG cluster	3
spaS266___97907	vanXY gene in vanG cluster	3
spaS267___159057	vanH gene in vanB cluster	3
spaS268___122943	vanG	3
spaS268___218339	vanW gene in vanI cluster	3
spaS268___229606	vanT gene in vanG cluster	3
spaS268___33777	Escherichia coli soxS with mutation conferring antibiotic resistance	3
spaS269___167814	vanW gene in vanI cluster	3
spaS269___184088	vanW gene in vanI cluster	3
spaS274___48665	vanG	3
spaS274___85221	vanY gene in vanB cluster	3
spaS274___85909	tet(Q)	3
spaS275___98796	nimI	3
spaS282___199902	vanG	3
spaS284___45281	vanW gene in vanI cluster	3
spaS287___184886	vanT gene in vanG cluster	3
spaS287___289100	vanW gene in vanB cluster	3
spaS295___171114	poxtA	3
spaS296___204672	vanT gene in vanG cluster	3
spaS296___224221	vanT gene in vanG cluster	3
spaS296___253305	vanW gene in vanI cluster	3
spaS296___311097	vanY gene in vanB cluster	3
spaS296___354125	vanY gene in vanG cluster	3
spaS58___42646	vanW gene in vanI cluster	3
spaS65___121623	vanXY gene in vanG cluster	3
spaS75___99625	RlmA(II)	3
spaS84___75558	dfrA7	3
spaS88___127080	vanY gene in vanM cluster	3
mh_p110___157013	vanW gene in vanI cluster	2
mh_p110___168315	vanW gene in vanI cluster	2
mh_p110___180964	poxtA	2
mh_p110___193830	vanW gene in vanI cluster	2
mh_p110___210420	vanT gene in vanG cluster	2
mh_p110___296632	vanY gene in vanB cluster	2
mh_p110___297080	vanG	2
mh_p110___4403	vanU gene in vanG cluster	2
mh_p125___123583	vanY gene in vanG cluster	2
mh_p125___223707	vanT gene in vanG cluster	2
mh_p125___236664	nimJ	2
mh_p292___125367	vanY gene in vanB cluster	2
mh_p292___149458	vanXY gene in vanG cluster	2
mh_p292___222318	nimG	2
mh_p292___4665	vanW gene in vanI cluster	2
mh_p292___87534	vanT gene in vanG cluster	2
mh_p341___111965	nimA	2
mh_p341___115988	vanW gene in vanI cluster	2
mh_p341___163676	vanG	2
mh_p341___167096	vanY gene in vanA cluster	2
mh_p341___180962	vanY gene in vanF cluster	2
mh_p341___183719	vanT gene in vanG cluster	2
mh_p341___227585	vanT gene in vanG cluster	2
mh_p341___231155	vanW gene in vanI cluster	2
mh_p341___252936	vanW gene in vanI cluster	2
mh_p341___255715	Klebsiella pneumoniae OmpK37	2
mh_p341___283089	vanY gene in vanB cluster	2
mh_p341___286128	vanH gene in vanO cluster	2
mh_p341___85696	vanW gene in vanI cluster	2
mh_p470___38803	vanW gene in vanI cluster	2
mh_p523___107248	adeF	2
mh_p523___112612	vanT gene in vanG cluster	2
mh_p523___113762	vanY gene in vanA cluster	2
mh_p523___172779	vanY gene in vanB cluster	2
mh_p523___176963	vanW gene in vanG cluster	2
mh_p523___24657	ACT-62	2
mh_p523___24735	vanW gene in vanI cluster	2
mh_p523___309243	Haemophilus influenzae PBP3 conferring resistance to beta-lactam antibiotics	2
mh_p523___33984	vanT gene in vanG cluster	2
mh_p523___347992	vanY gene in vanB cluster	2
mh_p523___353196	oqxA	2
mh_p523___362153	qacG	2
mh_p523___37718	vanW gene in vanG cluster	2
mh_p523___381476	vanH gene in vanA cluster	2
mh_p523___410275	vanT gene in vanG cluster	2
mh_p523___429860	vanW gene in vanI cluster	2
mh_p523___430407	adeF	2
mh_p523___98933	vanY gene in vanB cluster	2
mh_p550___104528	FosBx1	2
mh_p550___104551	vanT gene in vanG cluster	2
mh_p550___10517	lmrB	2
mh_p550___117960	BcI	2
mh_p550___117968	vanW gene in vanI cluster	2
mh_p550___125061	vanW gene in vanI cluster	2
mh_p550___12968	vanY gene in vanB cluster	2
mh_p550___215417	vanT gene in vanG cluster	2
mh_p550___22649	vanT gene in vanG cluster	2
mh_p550___237930	vanY gene in vanB cluster	2
mh_p550___255659	blt	2
mh_p550___282577	Bacillus subtilis mprF	2
mh_p550___73946	vanY gene in vanG cluster	2
mh_p584___100892	CMH-2	2
mh_p584___101137	oqxA	2
mh_p584___102432	ACT-28	2
mh_p584___102776	vanW gene in vanI cluster	2
mh_p584___13724	OKP-A-12	2
mh_p584___149798	fosA5	2
mh_p584___189284	ArnT	2
mh_p584___204192	vanY gene in vanB cluster	2
mh_p584___207327	vanW gene in vanI cluster	2
mh_p584___208958	vanT gene in vanG cluster	2
mh_p584___219430	vanG	2
mh_p584___226484	Klebsiella pneumoniae KpnE	2
mh_p584___228180	mcr-10.1	2
mh_p584___234023	vanW gene in vanI cluster	2
mh_p584___45273	FosA2	2
mh_p584___51955	PmrF	2
mh_p584___52900	ramA	2
mh_p584___75035	oqxA	2
mh_p601___142213	vanY gene in vanB cluster	2
mh_p601___148281	vanY gene in vanB cluster	2
mh_p601___283241	vanT gene in vanG cluster	2
mh_p601___377880	vanG	2
mh_p601___386077	vanY gene in vanF cluster	2
mh_p601___79185	vanY gene in vanG cluster	2
mh_p644___1034	vanW gene in vanI cluster	2
mh_p644___115774	vanG	2
mh_p644___119186	vanT gene in vanG cluster	2
mh_p644___143434	vanT gene in vanG cluster	2
mh_p644___150867	tet(Q)	2
mh_p644___158369	vanY gene in vanG cluster	2
mh_p644___161474	vanG	2
mh_p644___174343	nimE	2
mh_p644___178201	nimJ	2
mh_p644___191252	vanY gene in vanB cluster	2
mh_p644___233297	vanY gene in vanG cluster	2
mh_p644___238170	vanW gene in vanI cluster	2
mh_p644___32969	vanT gene in vanG cluster	2
mh_p644___34424	adeF	2
mh_p644___570	vanT gene in vanG cluster	2
mh_p644___63579	vanT gene in vanG cluster	2
mh_p644___63581	vanG	2
mh_p644___63582	vanW gene in vanB cluster	2
mh_p644___78995	qacJ	2
mh_p722___100864	QnrS1	2
mh_p722___138598	vanT gene in vanG cluster	2
mh_p722___152151	vanW gene in vanI cluster	2
mh_p722___170026	vanT gene in vanG cluster	2
mh_p722___171316	vanY gene in vanF cluster	2
mh_p722___179147	vanY gene in vanF cluster	2
mh_p722___210055	vanT gene in vanG cluster	2
mh_p722___241960	vanY gene in vanB cluster	2
mh_p722___264316	tet(36)	2
mh_p722___278141	vanG	2
mh_p722___283907	vanY gene in vanF cluster	2
mh_p722___305738	nimG	2
mh_p722___332170	vanY gene in vanB cluster	2
mh_p722___98673	floR	2
mh_p728___105604	qacG	2
mh_p728___124538	vanY gene in vanG cluster	2
mh_p728___181691	vanW gene in vanI cluster	2
mh_p728___259882	vanY gene in vanG cluster	2
mh_p728___283236	tet(32)	2
mh_p728___302650	vanW gene in vanI cluster	2
mh_p789___105509	vanW gene in vanI cluster	2
mh_p789___120654	vanW gene in vanI cluster	2
mh_p789___130180	vanR gene in vanD cluster	2
mh_p789___130182	vanY gene in vanD cluster	2
mh_p789___132541	AxyY	2
mh_p789___145592	vanY gene in vanF cluster	2
mh_p789___155671	vanY gene in vanB cluster	2
mh_p789___158023	vanY gene in vanF cluster	2
mh_p789___162351	vanW gene in vanI cluster	2
mh_p789___183142	vanY gene in vanB cluster	2
mh_p789___183143	vanY gene in vanG cluster	2
mh_p789___186384	OXA-243	2
mh_p789___233935	vanW gene in vanI cluster	2
mh_p789___258095	vanW gene in vanI cluster	2
mh_p789___262133	vanT gene in vanG cluster	2
mh_p789___263869	vanW gene in vanI cluster	2
mh_p789___299372	mefH	2
mh_p789___304574	vanT gene in vanG cluster	2
mh_p789___315571	vanW gene in vanI cluster	2
mh_p789___323688	nimA	2
mh_p789___335629	vanY gene in vanA cluster	2
mh_p789___346334	vanH gene in vanF cluster	2
mh_p789___348146	vanT gene in vanG cluster	2
mh_p789___348431	vanY gene in vanB cluster	2
mh_p789___353243	vanY gene in vanB cluster	2
mh_p789___356504	vanXY gene in vanG cluster	2
mh_p789___356505	vanG	2
mh_p789___363629	vanX gene in vanP cluster	2
mh_p789___383861	vanW gene in vanI cluster	2
mh_p789___386128	vanY gene in vanG cluster	2
mh_p789___386820	vanW gene in vanI cluster	2
mh_p789___402158	vanG	2
